Nome Completo;Comentários;Grupo
Aplicativos;SLA - 4hrs;Central de Serviços
Aplicativos > Instalação de Programa;SLA - 4hrs;Central de Serviços
Aplicativos > .NetFramework;SLA - 4hrs;Central de Serviços
Aplicativos > .NetFramework > Instalar;SLA - 4hrs;Central de Serviços
Aplicativos > .NetFramework > Atualizar;SLA - 4hrs;Central de Serviços
Aplicativos > Media Player;SLA - 4hrs;Central de Serviços
Aplicativos > Media Player > Instalar;SLA - 4hrs;Central de Serviços
Aplicativos > Media Player > Não Abre;SLA - 4hrs;Central de Serviços
Aplicativos > Leitores PDF;SLA - 4hrs;Central de Serviços
Aplicativos > PDF > Apresenta erro;SLA - 4hrs;Central de Serviços
Aplicativos > PDF > Atualizar;SLA - 4hrs;Central de Serviços
Aplicativos > PDF> Instalar;SLA - 4hrs;Central de Serviços
Aplicativos > PDF > Nao abre;SLA - 4hrs;Central de Serviços
Aplicativos > PDF > Instalar Impressora PDF;SLA - 4hrs;Central de Serviços
Aplicativos > PDF > Trava;SLA - 4hrs;Central de Serviços
Aplicativos > Navegadores;SLA - 4hrs;Central de Serviços
Aplicativos > Navegadores > Apresenta erro;SLA - 4hrs;Central de Serviços
Aplicativos > Navegadores > Atualizar;SLA - 4hrs;Central de Serviços
Aplicativos > Navegadores > Instalar;SLA - 4hrs;Central de Serviços
Aplicativos > Navegadores > Nao abre;SLA - 4hrs;Central de Serviços
Aplicativos > Navegadores > Trava;SLA - 4hrs;Central de Serviços
Aplicativos > Antivírus;SLA - 4hrs;Central de Serviços
Aplicativos > Antivírus > Atualização;SLA - 4hrs;Central de Serviços
Aplicativos > Antivírus > Desbloqueio de USB;SLA - 4hrs;Central de Serviços
Aplicativos > Antivírus > Bloqueio de USB;SLA - 4hrs;Central de Serviços
Aplicativos > Antivírus > Bloqueio de Software;SLA - 4hrs;Central de Serviços
Aplicativos > Antivírus > Instalação;SLA - 4hrs;Central de Serviços
Aplicativos > Java;SLA - 4hrs;Central de Serviços
Aplicativos > Java > Apresenta erro;SLA - 4hrs;Central de Serviços
Aplicativos > Java > Atualizar;SLA - 4hrs;Central de Serviços
Aplicativos > Java > Instalar;SLA - 4hrs;Central de Serviços
Aplicativos > Microsoft Outlook;SLA - 4hrs;Central de Serviços
Aplicativos > Microsoft Outlook >Assinatura;SLA - 4hrs;Central de Serviços
Aplicativos > Microsoft Outlook >Configuração de E-mail;SLA - 4hrs;Central de Serviços
Aplicativos > Microsoft Outlook >Não abre Outlook;SLA - 4hrs;Central de Serviços
Aplicativos > Microsoft Outlook >Não anexa arquivos;SLA - 4hrs;Central de Serviços
Aplicativos > Microsoft Outlook >Não envia / não recebe;SLA - 4hrs;Central de Serviços
Aplicativos > Microsoft Outlook >Sumiram Emails;SLA - 4hrs;Central de Serviços
Aplicativos > Microsoft Outlook > Realizar Backup;SLA - 4hrs;Central de Serviços
Aplicativos > Microsoft Outlook >Travando / Travado;SLA - 4hrs;Central de Serviços
Aplicativos > Office;SLA - 4hrs;Central de Serviços
Aplicativos > Office > Apresenta erro;SLA - 4hrs;Central de Serviços
Aplicativos > Office > Atualizar;SLA - 4hrs;Central de Serviços
Aplicativos > Office > Nao abre;SLA - 4hrs;Central de Serviços
